"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"s__Corynebacterium_oculi","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_oculi"
"s__Corynebacterium_pyruviciproducens","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_pyruviciproducens"
"s__Corynebacterium_striatum","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_striatum"
"s__Lawsonella_clevelandensis","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriales_unclassified","Lawsonella","Lawsonella_clevelandensis"
"s__Frigoribacterium_sp_Leaf8","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","Frigoribacterium_sp_Leaf8"
"s__Kocuria_palustris","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","Kocuria_palustris"
"s__Micrococcus_aloeverae","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus_aloeverae"
"s__Micrococcus_luteus","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus_luteus"
"s__Micrococcus_lylae","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus_lylae"
"s__Rothia_aeria","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_aeria"
"s__Rothia_dentocariosa","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_dentocariosa"
"s__Rothia_mucilaginosa","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_mucilaginosa"
"s__Cutibacterium_acnes","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium_acnes"
"s__Propionibacterium_acidifaciens","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium_acidifaciens"
"s__Propionibacterium_freudenreichii","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium_freudenreichii"
"s__Pseudopropionibacterium_propionicum","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Pseudopropionibacterium","Pseudopropionibacterium_propionicum"
"s__Atopobium_deltae","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium_deltae"
"s__Atopobium_minutum","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium_minutum"
"s__Atopobium_parvulum","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium_parvulum"
"s__Atopobium_rimae","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium_rimae"
"s__Atopobium_sp_oral_taxon_199","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium_sp_oral_taxon_199"
"s__Atopobium_vaginae","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium_vaginae"
"s__Olsenella_profusa","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_profusa"
"s__Olsenella_scatoligenes","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_scatoligenes"
"s__Olsenella_sp_An188","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_sp_An188"
"s__Olsenella_sp_An270","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_sp_An270"
"s__Olsenella_sp_KH3B4","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_sp_KH3B4"
"s__Olsenella_uli","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_uli"
"s__Olsenella_umbonata","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_umbonata"
"s__Collinsella_intestinalis","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_intestinalis"
"s__Collinsella_sp","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_sp"
