sample,run,instrument,fastq_1,fastq_2
SRR5935852,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935852_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935852_2.fastq.gz
SRR5935853,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935853_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935853_2.fastq.gz
SRR5935854,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935854_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935854_2.fastq.gz
SRR5935855,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935855_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935855_2.fastq.gz
SRR5935856,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935856_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935856_2.fastq.gz
SRR5935857,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935857_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935857_2.fastq.gz
SRR5935858,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935858_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935858_2.fastq.gz
SRR5935859,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935859_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935859_2.fastq.gz
SRR5935860,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935860_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935860_2.fastq.gz
SRR5935861,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935861_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935861_2.fastq.gz
SRR5935862,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935862_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935862_2.fastq.gz
SRR5935863,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935863_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935863_2.fastq.gz
SRR5935864,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935864_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935864_2.fastq.gz
SRR5935865,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935865_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935865_2.fastq.gz
SRR5935866,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935866_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935866_2.fastq.gz
